B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25004_001E,B25004_002E,B25004_003E,B25004_004E,B25004_005E,B25004_006E,B25004_007E,B25004_008E,B25002_002E,B25002_003E,state,county
17318,16312,10842,5470,1006,86,172,54,26,163,0,505,16312,1006,27,009
65786,60509,40819,19690,5277,820,84,201,94,2567,12,1499,60509,5277,27,145
