B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25004_001E,B25004_002E,B25004_003E,B25004_004E,B25004_005E,B25004_006E,B25004_007E,B25004_008E,B25002_002E,B25002_003E,state,county
16194,15359,10803,4556,835,259,43,172,4,56,0,301,15359,835,27,009
62063,56737,40756,15981,5326,1008,492,465,220,2314,2,825,56737,5326,27,145
