B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25004_001E,B25004_002E,B25004_003E,B25004_004E,B25004_005E,B25004_006E,B25004_007E,B25004_008E,B25002_002E,B25002_003E,state,county
16155,15421,10955,4466,734,134,32,185,7,80,0,296,15421,734,27,009
61857,56467,40913,15554,5390,1264,445,483,228,2187,12,771,56467,5390,27,145
