B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25004_001E,B25004_002E,B25004_003E,B25004_004E,B25004_005E,B25004_006E,B25004_007E,B25004_008E,B25002_002E,B25002_003E,state,county
16893,16217,10843,5374,676,53,0,45,45,139,0,394,16217,676,27,009
64101,58891,40618,18273,5210,599,273,431,13,2597,0,1297,58891,5210,27,145
